,番号,先進医療技術名,都道府県,実施している医療機関の名称
K,1,パクリタキセル静脈内投与（一週間に一回投与するものに限る。）及びカルボプラチン腹腔内投与（三週間に一回投与するものに限る。）の併用療法　上皮性卵巣がん、卵管がん又は原発性腹膜がん,大阪府,市立貝塚病院
K,1,パクリタキセル静脈内投与（一週間に一回投与するものに限る。）及びカルボプラチン腹腔内投与（三週間に一回投与するものに限る。）の併用療法　上皮性卵巣がん、卵管がん又は原発性腹膜がん,大阪府,地方独立行政法人大阪府立病院機構　大阪国際がんセンター
K,1,パクリタキセル静脈内投与（一週間に一回投与するものに限る。）及びカルボプラチン腹腔内投与（三週間に一回投与するものに限る。）の併用療法　上皮性卵巣がん、卵管がん又は原発性腹膜がん,奈良県,奈良県立医科大学附属病院
K,1,パクリタキセル静脈内投与（一週間に一回投与するものに限る。）及びカルボプラチン腹腔内投与（三週間に一回投与するものに限る。）の併用療法　上皮性卵巣がん、卵管がん又は原発性腹膜がん,－,－
K,1,パクリタキセル静脈内投与（一週間に一回投与するものに限る。）及びカルボプラチン腹腔内投与（三週間に一回投与するものに限る。）の併用療法　上皮性卵巣がん、卵管がん又は原発性腹膜がん,－,－
K,1,パクリタキセル静脈内投与（一週間に一回投与するものに限る。）及びカルボプラチン腹腔内投与（三週間に一回投与するものに限る。）の併用療法　上皮性卵巣がん、卵管がん又は原発性腹膜がん,岩手県,岩手医科大学附属病院
K,1,パクリタキセル静脈内投与（一週間に一回投与するものに限る。）及びカルボプラチン腹腔内投与（三週間に一回投与するものに限る。）の併用療法　上皮性卵巣がん、卵管がん又は原発性腹膜がん,東京都,公益財団法人がん研究会　有明病院
K,1,パクリタキセル静脈内投与（一週間に一回投与するものに限る。）及びカルボプラチン腹腔内投与（三週間に一回投与するものに限る。）の併用療法　上皮性卵巣がん、卵管がん又は原発性腹膜がん,広島県,独立行政法人国立病院機構　呉医療センター　中国がんセンター
K,1,パクリタキセル静脈内投与（一週間に一回投与するものに限る。）及びカルボプラチン腹腔内投与（三週間に一回投与するものに限る。）の併用療法　上皮性卵巣がん、卵管がん又は原発性腹膜がん,－,－
K,1,パクリタキセル静脈内投与（一週間に一回投与するものに限る。）及びカルボプラチン腹腔内投与（三週間に一回投与するものに限る。）の併用療法　上皮性卵巣がん、卵管がん又は原発性腹膜がん,長崎県,社会福祉法人恩賜財団済生会支部 済生会長崎病院　
K,1,パクリタキセル静脈内投与（一週間に一回投与するものに限る。）及びカルボプラチン腹腔内投与（三週間に一回投与するものに限る。）の併用療法　上皮性卵巣がん、卵管がん又は原発性腹膜がん,東京都,東京慈恵会医科大学附属病院
K,1,パクリタキセル静脈内投与（一週間に一回投与するものに限る。）及びカルボプラチン腹腔内投与（三週間に一回投与するものに限る。）の併用療法　上皮性卵巣がん、卵管がん又は原発性腹膜がん,千葉県,東京慈恵会医科大学附属柏病院
K,1,パクリタキセル静脈内投与（一週間に一回投与するものに限る。）及びカルボプラチン腹腔内投与（三週間に一回投与するものに限る。）の併用療法　上皮性卵巣がん、卵管がん又は原発性腹膜がん,東京都,東京慈恵会医科大学附属第三病院
K,1,パクリタキセル静脈内投与（一週間に一回投与するものに限る。）及びカルボプラチン腹腔内投与（三週間に一回投与するものに限る。）の併用療法　上皮性卵巣がん、卵管がん又は原発性腹膜がん,群馬県,群馬県立がんセンター
K,1,パクリタキセル静脈内投与（一週間に一回投与するものに限る。）及びカルボプラチン腹腔内投与（三週間に一回投与するものに限る。）の併用療法　上皮性卵巣がん、卵管がん又は原発性腹膜がん,東京都,昭和大学病院
K,1,パクリタキセル静脈内投与（一週間に一回投与するものに限る。）及びカルボプラチン腹腔内投与（三週間に一回投与するものに限る。）の併用療法　上皮性卵巣がん、卵管がん又は原発性腹膜がん,－,－
K,1,パクリタキセル静脈内投与（一週間に一回投与するものに限る。）及びカルボプラチン腹腔内投与（三週間に一回投与するものに限る。）の併用療法　上皮性卵巣がん、卵管がん又は原発性腹膜がん,兵庫県,兵庫医科大学病院
K,1,パクリタキセル静脈内投与（一週間に一回投与するものに限る。）及びカルボプラチン腹腔内投与（三週間に一回投与するものに限る。）の併用療法　上皮性卵巣がん、卵管がん又は原発性腹膜がん,福岡県,独立行政法人国立病院機構九州医療センター
K,1,パクリタキセル静脈内投与（一週間に一回投与するものに限る。）及びカルボプラチン腹腔内投与（三週間に一回投与するものに限る。）の併用療法　上皮性卵巣がん、卵管がん又は原発性腹膜がん,－,－
K,1,パクリタキセル静脈内投与（一週間に一回投与するものに限る。）及びカルボプラチン腹腔内投与（三週間に一回投与するものに限る。）の併用療法　上皮性卵巣がん、卵管がん又は原発性腹膜がん,東京都,慶應義塾大学病院
K,1,パクリタキセル静脈内投与（一週間に一回投与するものに限る。）及びカルボプラチン腹腔内投与（三週間に一回投与するものに限る。）の併用療法　上皮性卵巣がん、卵管がん又は原発性腹膜がん,東京都,東京女子医科大学東医療センター
K,1,パクリタキセル静脈内投与（一週間に一回投与するものに限る。）及びカルボプラチン腹腔内投与（三週間に一回投与するものに限る。）の併用療法　上皮性卵巣がん、卵管がん又は原発性腹膜がん,神奈川県,東海大学医学部付属病院
K,1,パクリタキセル静脈内投与（一週間に一回投与するものに限る。）及びカルボプラチン腹腔内投与（三週間に一回投与するものに限る。）の併用療法　上皮性卵巣がん、卵管がん又は原発性腹膜がん,愛知県,愛知県がんセンター
K,1,パクリタキセル静脈内投与（一週間に一回投与するものに限る。）及びカルボプラチン腹腔内投与（三週間に一回投与するものに限る。）の併用療法　上皮性卵巣がん、卵管がん又は原発性腹膜がん,三重県,三重大学医学部附属病院
K,1,パクリタキセル静脈内投与（一週間に一回投与するものに限る。）及びカルボプラチン腹腔内投与（三週間に一回投与するものに限る。）の併用療法　上皮性卵巣がん、卵管がん又は原発性腹膜がん,大阪府,大阪医科大学附属病院
K,1,パクリタキセル静脈内投与（一週間に一回投与するものに限る。）及びカルボプラチン腹腔内投与（三週間に一回投与するものに限る。）の併用療法　上皮性卵巣がん、卵管がん又は原発性腹膜がん,大阪府,大阪大学医学部附属病院
K,1,パクリタキセル静脈内投与（一週間に一回投与するものに限る。）及びカルボプラチン腹腔内投与（三週間に一回投与するものに限る。）の併用療法　上皮性卵巣がん、卵管がん又は原発性腹膜がん,静岡県,静岡県立静岡がんセンター
K,1,パクリタキセル静脈内投与（一週間に一回投与するものに限る。）及びカルボプラチン腹腔内投与（三週間に一回投与するものに限る。）の併用療法　上皮性卵巣がん、卵管がん又は原発性腹膜がん,－,－
K,1,パクリタキセル静脈内投与（一週間に一回投与するものに限る。）及びカルボプラチン腹腔内投与（三週間に一回投与するものに限る。）の併用療法　上皮性卵巣がん、卵管がん又は原発性腹膜がん,－,－
K,1,パクリタキセル静脈内投与（一週間に一回投与するものに限る。）及びカルボプラチン腹腔内投与（三週間に一回投与するものに限る。）の併用療法　上皮性卵巣がん、卵管がん又は原発性腹膜がん,福井県,福井大学医学部附属病院
K,1,パクリタキセル静脈内投与（一週間に一回投与するものに限る。）及びカルボプラチン腹腔内投与（三週間に一回投与するものに限る。）の併用療法　上皮性卵巣がん、卵管がん又は原発性腹膜がん,京都府,京都府立医科大学附属病院
K,1,パクリタキセル静脈内投与（一週間に一回投与するものに限る。）及びカルボプラチン腹腔内投与（三週間に一回投与するものに限る。）の併用療法　上皮性卵巣がん、卵管がん又は原発性腹膜がん,兵庫県,兵庫県立がんセンター
K,1,パクリタキセル静脈内投与（一週間に一回投与するものに限る。）及びカルボプラチン腹腔内投与（三週間に一回投与するものに限る。）の併用療法　上皮性卵巣がん、卵管がん又は原発性腹膜がん,東京都,順天堂大学医学部附属順天堂医院
K,1,パクリタキセル静脈内投与（一週間に一回投与するものに限る。）及びカルボプラチン腹腔内投与（三週間に一回投与するものに限る。）の併用療法　上皮性卵巣がん、卵管がん又は原発性腹膜がん,－,－
K,1,パクリタキセル静脈内投与（一週間に一回投与するものに限る。）及びカルボプラチン腹腔内投与（三週間に一回投与するものに限る。）の併用療法　上皮性卵巣がん、卵管がん又は原発性腹膜がん,－,－
K,1,パクリタキセル静脈内投与（一週間に一回投与するものに限る。）及びカルボプラチン腹腔内投与（三週間に一回投与するものに限る。）の併用療法　上皮性卵巣がん、卵管がん又は原発性腹膜がん,青森県,弘前大学医学部附属病院
K,1,パクリタキセル静脈内投与（一週間に一回投与するものに限る。）及びカルボプラチン腹腔内投与（三週間に一回投与するものに限る。）の併用療法　上皮性卵巣がん、卵管がん又は原発性腹膜がん,－,－
K,1,パクリタキセル静脈内投与（一週間に一回投与するものに限る。）及びカルボプラチン腹腔内投与（三週間に一回投与するものに限る。）の併用療法　上皮性卵巣がん、卵管がん又は原発性腹膜がん,東京都,東京大学医学部附属病院
K,2,重症低血糖発作を伴うインスリン依存性糖尿病に対する脳死ドナー又は心停止ドナーからの膵島移植　重症低血糖発作を伴うインスリン依存性糖尿病,福島県,公立大学法人　福島県立医科大学附属病院
K,2,重症低血糖発作を伴うインスリン依存性糖尿病に対する脳死ドナー又は心停止ドナーからの膵島移植　重症低血糖発作を伴うインスリン依存性糖尿病,宮城県,東北大学病院
K,2,重症低血糖発作を伴うインスリン依存性糖尿病に対する脳死ドナー又は心停止ドナーからの膵島移植　重症低血糖発作を伴うインスリン依存性糖尿病,-,-
K,2,重症低血糖発作を伴うインスリン依存性糖尿病に対する脳死ドナー又は心停止ドナーからの膵島移植　重症低血糖発作を伴うインスリン依存性糖尿病,京都府,京都大学医学部附属病院
K,2,重症低血糖発作を伴うインスリン依存性糖尿病に対する脳死ドナー又は心停止ドナーからの膵島移植　重症低血糖発作を伴うインスリン依存性糖尿病,大阪府,大阪大学医学部附属病院
K,2,重症低血糖発作を伴うインスリン依存性糖尿病に対する脳死ドナー又は心停止ドナーからの膵島移植　重症低血糖発作を伴うインスリン依存性糖尿病,福岡県,福岡大学病院
K,2,重症低血糖発作を伴うインスリン依存性糖尿病に対する脳死ドナー又は心停止ドナーからの膵島移植　重症低血糖発作を伴うインスリン依存性糖尿病,東京都,国立国際医療研究センター病院 
K,3,ペメトレキセド静脈内投与及びシスプラチン静脈内投与の併用療法　肺がん（扁平上皮肺がん及び小細胞肺がんを除き、病理学的見地から完全に切除されたと判断されるものに限る。）,静岡県,静岡県立静岡がんセンター
K,3,ペメトレキセド静脈内投与及びシスプラチン静脈内投与の併用療法　肺がん（扁平上皮肺がん及び小細胞肺がんを除き、病理学的見地から完全に切除されたと判断されるものに限る。）,－,－
K,3,ペメトレキセド静脈内投与及びシスプラチン静脈内投与の併用療法　肺がん（扁平上皮肺がん及び小細胞肺がんを除き、病理学的見地から完全に切除されたと判断されるものに限る。）,東京都,順天堂大学医学部附属順天堂医院
K,3,ペメトレキセド静脈内投与及びシスプラチン静脈内投与の併用療法　肺がん（扁平上皮肺がん及び小細胞肺がんを除き、病理学的見地から完全に切除されたと判断されるものに限る。）,東京都,東京都立駒込病院
K,3,ペメトレキセド静脈内投与及びシスプラチン静脈内投与の併用療法　肺がん（扁平上皮肺がん及び小細胞肺がんを除き、病理学的見地から完全に切除されたと判断されるものに限る。）,福岡県,独立行政法人国立病院機構九州がんセンター
K,3,ペメトレキセド静脈内投与及びシスプラチン静脈内投与の併用療法　肺がん（扁平上皮肺がん及び小細胞肺がんを除き、病理学的見地から完全に切除されたと判断されるものに限る。）,福岡県,独立行政法人国立病院機構九州医療センター
K,3,ペメトレキセド静脈内投与及びシスプラチン静脈内投与の併用療法　肺がん（扁平上皮肺がん及び小細胞肺がんを除き、病理学的見地から完全に切除されたと判断されるものに限る。）,熊本県,熊本大学医学部附属病院
K,3,ペメトレキセド静脈内投与及びシスプラチン静脈内投与の併用療法　肺がん（扁平上皮肺がん及び小細胞肺がんを除き、病理学的見地から完全に切除されたと判断されるものに限る。）,愛知県,名古屋第一赤十字病院
K,3,ペメトレキセド静脈内投与及びシスプラチン静脈内投与の併用療法　肺がん（扁平上皮肺がん及び小細胞肺がんを除き、病理学的見地から完全に切除されたと判断されるものに限る。）,埼玉県,埼玉医科大学国際医療センター
K,3,ペメトレキセド静脈内投与及びシスプラチン静脈内投与の併用療法　肺がん（扁平上皮肺がん及び小細胞肺がんを除き、病理学的見地から完全に切除されたと判断されるものに限る。）,愛知県,名古屋大学医学部附属病院
K,3,ペメトレキセド静脈内投与及びシスプラチン静脈内投与の併用療法　肺がん（扁平上皮肺がん及び小細胞肺がんを除き、病理学的見地から完全に切除されたと判断されるものに限る。）,大阪府,大阪市立大学医学部附属病院
K,3,ペメトレキセド静脈内投与及びシスプラチン静脈内投与の併用療法　肺がん（扁平上皮肺がん及び小細胞肺がんを除き、病理学的見地から完全に切除されたと判断されるものに限る。）,新潟県,新潟県立がんセンター新潟病院
K,3,ペメトレキセド静脈内投与及びシスプラチン静脈内投与の併用療法　肺がん（扁平上皮肺がん及び小細胞肺がんを除き、病理学的見地から完全に切除されたと判断されるものに限る。）,和歌山県,日本赤十字社和歌山医療センター
K,3,ペメトレキセド静脈内投与及びシスプラチン静脈内投与の併用療法　肺がん（扁平上皮肺がん及び小細胞肺がんを除き、病理学的見地から完全に切除されたと判断されるものに限る。）,宮城県,一般財団法人厚生会仙台厚生病院
K,3,ペメトレキセド静脈内投与及びシスプラチン静脈内投与の併用療法　肺がん（扁平上皮肺がん及び小細胞肺がんを除き、病理学的見地から完全に切除されたと判断されるものに限る。）,千葉県,独立行政法人国立がん研究センター東病院
K,3,ペメトレキセド静脈内投与及びシスプラチン静脈内投与の併用療法　肺がん（扁平上皮肺がん及び小細胞肺がんを除き、病理学的見地から完全に切除されたと判断されるものに限る。）,千葉県,千葉大学医学部附属病院
K,3,ペメトレキセド静脈内投与及びシスプラチン静脈内投与の併用療法　肺がん（扁平上皮肺がん及び小細胞肺がんを除き、病理学的見地から完全に切除されたと判断されるものに限る。）,東京都,国家公務員共済組合連合会　虎の門病院
K,3,ペメトレキセド静脈内投与及びシスプラチン静脈内投与の併用療法　肺がん（扁平上皮肺がん及び小細胞肺がんを除き、病理学的見地から完全に切除されたと判断されるものに限る。）,神奈川県,神奈川県立循環器呼吸器病センター
K,3,ペメトレキセド静脈内投与及びシスプラチン静脈内投与の併用療法　肺がん（扁平上皮肺がん及び小細胞肺がんを除き、病理学的見地から完全に切除されたと判断されるものに限る。）,神奈川県,横浜市立市民病院
K,3,ペメトレキセド静脈内投与及びシスプラチン静脈内投与の併用療法　肺がん（扁平上皮肺がん及び小細胞肺がんを除き、病理学的見地から完全に切除されたと判断されるものに限る。）,大阪府,近畿大学病院
K,3,ペメトレキセド静脈内投与及びシスプラチン静脈内投与の併用療法　肺がん（扁平上皮肺がん及び小細胞肺がんを除き、病理学的見地から完全に切除されたと判断されるものに限る。）,大阪府,大阪市立総合医療センター
K,3,ペメトレキセド静脈内投与及びシスプラチン静脈内投与の併用療法　肺がん（扁平上皮肺がん及び小細胞肺がんを除き、病理学的見地から完全に切除されたと判断されるものに限る。）,岡山県,財団法人　倉敷中央病院
K,3,ペメトレキセド静脈内投与及びシスプラチン静脈内投与の併用療法　肺がん（扁平上皮肺がん及び小細胞肺がんを除き、病理学的見地から完全に切除されたと判断されるものに限る。）,山口県,独立行政法人国立病院機構山口宇部医療センター
K,3,ペメトレキセド静脈内投与及びシスプラチン静脈内投与の併用療法　肺がん（扁平上皮肺がん及び小細胞肺がんを除き、病理学的見地から完全に切除されたと判断されるものに限る。）,広島県,広島大学病院
K,3,ペメトレキセド静脈内投与及びシスプラチン静脈内投与の併用療法　肺がん（扁平上皮肺がん及び小細胞肺がんを除き、病理学的見地から完全に切除されたと判断されるものに限る。）,愛媛県,独立行政法人国立病院機構四国がんセンター
K,3,ペメトレキセド静脈内投与及びシスプラチン静脈内投与の併用療法　肺がん（扁平上皮肺がん及び小細胞肺がんを除き、病理学的見地から完全に切除されたと判断されるものに限る。）,埼玉県,埼玉県立がんセンター
K,3,ペメトレキセド静脈内投与及びシスプラチン静脈内投与の併用療法　肺がん（扁平上皮肺がん及び小細胞肺がんを除き、病理学的見地から完全に切除されたと判断されるものに限る。）,東京都,東京医科大学病院
K,3,ペメトレキセド静脈内投与及びシスプラチン静脈内投与の併用療法　肺がん（扁平上皮肺がん及び小細胞肺がんを除き、病理学的見地から完全に切除されたと判断されるものに限る。）,愛知県,国立病院機構名古屋医療センター
K,3,ペメトレキセド静脈内投与及びシスプラチン静脈内投与の併用療法　肺がん（扁平上皮肺がん及び小細胞肺がんを除き、病理学的見地から完全に切除されたと判断されるものに限る。）,京都府,京都大学医学部附属病院
K,3,ペメトレキセド静脈内投与及びシスプラチン静脈内投与の併用療法　肺がん（扁平上皮肺がん及び小細胞肺がんを除き、病理学的見地から完全に切除されたと判断されるものに限る。）,大阪府,独立行政法人国立病院機構近畿中央胸部疾患センター
K,3,ペメトレキセド静脈内投与及びシスプラチン静脈内投与の併用療法　肺がん（扁平上皮肺がん及び小細胞肺がんを除き、病理学的見地から完全に切除されたと判断されるものに限る。）,岡山県,岡山大学病院
K,3,ペメトレキセド静脈内投与及びシスプラチン静脈内投与の併用療法　肺がん（扁平上皮肺がん及び小細胞肺がんを除き、病理学的見地から完全に切除されたと判断されるものに限る。）,広島県,地方独立行政法人広島市立病院機構　広島市立広島市民病院
K,3,ペメトレキセド静脈内投与及びシスプラチン静脈内投与の併用療法　肺がん（扁平上皮肺がん及び小細胞肺がんを除き、病理学的見地から完全に切除されたと判断されるものに限る。）,兵庫県,神戸市立医療センター中央市民病院
K,3,ペメトレキセド静脈内投与及びシスプラチン静脈内投与の併用療法　肺がん（扁平上皮肺がん及び小細胞肺がんを除き、病理学的見地から完全に切除されたと判断されるものに限る。）,兵庫県,兵庫県立がんセンター
K,3,ペメトレキセド静脈内投与及びシスプラチン静脈内投与の併用療法　肺がん（扁平上皮肺がん及び小細胞肺がんを除き、病理学的見地から完全に切除されたと判断されるものに限る。）,大阪府,大阪はびきの医療センター
K,3,ペメトレキセド静脈内投与及びシスプラチン静脈内投与の併用療法　肺がん（扁平上皮肺がん及び小細胞肺がんを除き、病理学的見地から完全に切除されたと判断されるものに限る。）,愛知県,愛知県がんセンター
K,3,ペメトレキセド静脈内投与及びシスプラチン静脈内投与の併用療法　肺がん（扁平上皮肺がん及び小細胞肺がんを除き、病理学的見地から完全に切除されたと判断されるものに限る。）,長崎県,長崎大学病院
K,3,ペメトレキセド静脈内投与及びシスプラチン静脈内投与の併用療法　肺がん（扁平上皮肺がん及び小細胞肺がんを除き、病理学的見地から完全に切除されたと判断されるものに限る。）,東京都,公益財団法人がん研究会　有明病院
K,3,ペメトレキセド静脈内投与及びシスプラチン静脈内投与の併用療法　肺がん（扁平上皮肺がん及び小細胞肺がんを除き、病理学的見地から完全に切除されたと判断されるものに限る。）,長野県,信州大学医学部附属病院
K,3,ペメトレキセド静脈内投与及びシスプラチン静脈内投与の併用療法　肺がん（扁平上皮肺がん及び小細胞肺がんを除き、病理学的見地から完全に切除されたと判断されるものに限る。）,福岡県,産業医科大学病院
K,3,ペメトレキセド静脈内投与及びシスプラチン静脈内投与の併用療法　肺がん（扁平上皮肺がん及び小細胞肺がんを除き、病理学的見地から完全に切除されたと判断されるものに限る。）,大阪府,公益財団法人田附興風会医学研究所　北野病院
K,3,ペメトレキセド静脈内投与及びシスプラチン静脈内投与の併用療法　肺がん（扁平上皮肺がん及び小細胞肺がんを除き、病理学的見地から完全に切除されたと判断されるものに限る。）,岡山県,川崎医科大学附属病院
K,3,ペメトレキセド静脈内投与及びシスプラチン静脈内投与の併用療法　肺がん（扁平上皮肺がん及び小細胞肺がんを除き、病理学的見地から完全に切除されたと判断されるものに限る。）,大分県,大分大学医学部附属病院
K,3,ペメトレキセド静脈内投与及びシスプラチン静脈内投与の併用療法　肺がん（扁平上皮肺がん及び小細胞肺がんを除き、病理学的見地から完全に切除されたと判断されるものに限る。）,福岡県,九州大学病院
K,3,ペメトレキセド静脈内投与及びシスプラチン静脈内投与の併用療法　肺がん（扁平上皮肺がん及び小細胞肺がんを除き、病理学的見地から完全に切除されたと判断されるものに限る。）,鳥取県,鳥取大学医学部附属病院
K,3,ペメトレキセド静脈内投与及びシスプラチン静脈内投与の併用療法　肺がん（扁平上皮肺がん及び小細胞肺がんを除き、病理学的見地から完全に切除されたと判断されるものに限る。）,東京都,帝京大学医学部附属病院
K,3,ペメトレキセド静脈内投与及びシスプラチン静脈内投与の併用療法　肺がん（扁平上皮肺がん及び小細胞肺がんを除き、病理学的見地から完全に切除されたと判断されるものに限る。）,愛知県,名古屋第二赤十字病院
K,3,ペメトレキセド静脈内投与及びシスプラチン静脈内投与の併用療法　肺がん（扁平上皮肺がん及び小細胞肺がんを除き、病理学的見地から完全に切除されたと判断されるものに限る。）,和歌山県,和歌山県立医科大学附属病院
K,3,ペメトレキセド静脈内投与及びシスプラチン静脈内投与の併用療法　肺がん（扁平上皮肺がん及び小細胞肺がんを除き、病理学的見地から完全に切除されたと判断されるものに限る。）,岐阜県,岐阜市民病院
K,3,ペメトレキセド静脈内投与及びシスプラチン静脈内投与の併用療法　肺がん（扁平上皮肺がん及び小細胞肺がんを除き、病理学的見地から完全に切除されたと判断されるものに限る。）,神奈川県,神奈川県立病院機構　神奈川県立がんセンター
K,3,ペメトレキセド静脈内投与及びシスプラチン静脈内投与の併用療法　肺がん（扁平上皮肺がん及び小細胞肺がんを除き、病理学的見地から完全に切除されたと判断されるものに限る。）,東京都,国立研究開発法人国立がん研究センター中央病院
K,4,コレステロール塞栓症に対する血液浄化療法　コレステロール塞栓症,宮城県,独立行政法人地域医療機能推進機構　仙台病院
K,4,コレステロール塞栓症に対する血液浄化療法　コレステロール塞栓症,茨城県,筑波大学附属病院
K,4,コレステロール塞栓症に対する血液浄化療法　コレステロール塞栓症,福岡県,小倉記念病院
K,4,コレステロール塞栓症に対する血液浄化療法　コレステロール塞栓症,三重県,三重大学医学部附属病院
K,4,コレステロール塞栓症に対する血液浄化療法　コレステロール塞栓症,富山県,富山県立中央病院
K,4,コレステロール塞栓症に対する血液浄化療法　コレステロール塞栓症,石川県,公立松任石川中央病院
K,4,コレステロール塞栓症に対する血液浄化療法　コレステロール塞栓症,長野県,国立大学法人　信州大学医学部附属病院
K,4,コレステロール塞栓症に対する血液浄化療法　コレステロール塞栓症,東京都,杏林大学医学部付属病院
K,4,コレステロール塞栓症に対する血液浄化療法　コレステロール塞栓症,島根県,島根大学医学部附属病院
K,4,コレステロール塞栓症に対する血液浄化療法　コレステロール塞栓症,-,-
K,4,コレステロール塞栓症に対する血液浄化療法　コレステロール塞栓症,愛知県,藤田医科大学病院
K,4,コレステロール塞栓症に対する血液浄化療法　コレステロール塞栓症,埼玉県,自治医科大学附属さいたま医療センター
K,4,コレステロール塞栓症に対する血液浄化療法　コレステロール塞栓症,石川県,国立大学法人金沢大学附属病院
K,4,コレステロール塞栓症に対する血液浄化療法　コレステロール塞栓症,東京都,東京医科大学病院 
K,5,NKT細胞を用いた免疫療法　頭頸部扁平上皮がん（診断時のステージがIV期であって、初回治療として計画された一連の治療後の完全奏功の判定から八週間以内の症例（当該期間内に他の治療を実施していないものに限る。）に限る。）,千葉県,千葉大学医学部附属病院
K,6,C型肝炎ウイルスに起因する肝硬変に対する自己骨髄細胞投与療法　C型肝炎ウイルスに起因する肝硬変（Child－Pugh分類による点数が七点以上のものであって、従来の治療法（肝移植術を除く。）ではその治療に係る効果が認められないものに限る。）,山口県,山口大学医学部附属病院
K,7,経皮的乳がんラジオ波焼灼療法　早期乳がん（長径が一・五センチメートル以下のものに限る。）,東京都,独立行政法人国立がん研究センター中央病院
K,7,経皮的乳がんラジオ波焼灼療法　早期乳がん（長径が一・五センチメートル以下のものに限る。）,北海道,独立行政法人国立病院機構北海道がんセンター
K,7,経皮的乳がんラジオ波焼灼療法　早期乳がん（長径が一・五センチメートル以下のものに限る。）,群馬県,群馬県立がんセンター
K,7,経皮的乳がんラジオ波焼灼療法　早期乳がん（長径が一・五センチメートル以下のものに限る。）,千葉県,独立行政法人国立がん研究センター東病院
K,7,経皮的乳がんラジオ波焼灼療法　早期乳がん（長径が一・五センチメートル以下のものに限る。）,千葉県,千葉県がんセンター
K,7,経皮的乳がんラジオ波焼灼療法　早期乳がん（長径が一・五センチメートル以下のものに限る。）,岡山県,岡山大学病院
